uei,lat,lon
Y2K4F9RPRRG7,44.02163,-92.4699
WQNERYY3BK94,39.29037857055664,-76.61219024658203
GKMSN3DA6P91,47.12186813354492,-88.56900787353516
GNJ7BBP73WE9,42.27756,-83.74088
DQDBM7FGJPC5,42.03471,-93.61994
E2NYLCDML6V1,42.3751,-71.10561
TX2DAGQPENZ5,38.54491,-121.74052
GTNBNWXJ12D5,36.16589,-86.78444
DYZNJGLTHMR9,38.895111083984375,-77.03636932373047
UNVDZNFA8R29,39.29038,-76.61219
MECEHTM8DB17,34.74648,-92.28959
WNTPS995QBM7,41.80843,-72.24952
QD1MX6N5YTN4,30.62798,-96.33441
V62NC51F7YV1,39.758949279785156,-84.19161224365234
Q266L2NDAVP1,26.35869,-80.0831
G56PUALJ3KT5,42.44063,-76.49661
JZ8RQC4EMDZ5,42.358428955078125,-71.05976867675781
Z9CRZKD42ZT1,39.29038,-76.61219
MND6UJJX4PB3,39.051231384277344,-76.9411849975586
LGHBJMLVD8H3,40.714271545410156,-74.00596618652344
SHHBRBAPSM35,39.16533,-86.52639
DSLXBD7UWRV6,36.84680938720703,-76.28521728515625
L952KGDMSLV5,40.714271545410156,-74.00596618652344
DWH7MSXKA2A8,36.16589,-86.78444
LN53LCFJFL45,39.29038,-76.61219
DBP4N9GHCA14,34.74648,-92.28959
KU3DCFJJTVN3,30.62798,-96.33441
FWY1FX3THXC5,40.714271545410156,-74.00596618652344
JDLVAVGYJQ21,39.29038,-76.61219
JF6XLNB4CDJ5,30.62798,-96.33441
EUYXHRL5MLL3,40.714271545410156,-74.00596618652344
FTMTDMBR29C7,39.29038,-76.61219
GGFBMCXBJLY1,30.62798,-96.33441
EK93EZLLBSC4,40.714271545410156,-74.00596618652344
EQH8NQ4AXFT7,30.62798,-96.33441
EJABWGUJM228,40.714271545410156,-74.00596618652344
WUWGNMBAHKG2,38.86030578613281,-77.36298370361328
U5MMBAC9XAM5,29.21081,-81.02283
GSLCJ3M62XX1,42.26259,-71.80229
MZ9DFVC2J1B7,42.3876,-71.0995
YDWAYVVQHNK5,40.71427,-74.00597
NUNHAKQ7MS86,40.430152893066406,-79.96976470947266
LQK1DD1EYZK9,40.71427,-74.00597
VQ5WK498QDC6,33.88292694091797,-117.88691711425781
GL8EKK2U5YE9,38.90360641479492,-77.04317474365234
F4BMNBQK9BM1,32.930946350097656,-96.79496002197266
MR7ZQXJSQKA5,38.908355712890625,-77.09369659423828
ZGKVAM2JVKG2,38.90025329589844,-77.02789306640625
Y28BEBJ4MNU7,37.713802337646484,-89.21165466308594
N63ZMY7UETA3,36.165889739990234,-86.78443908691406
LV8GL8MLU9A3,40.51871871948242,-74.41210174560547
EJCVPNN1WFS5,32.94818,-96.72972
SPVKK1RC2MZ3,40.014991760253906,-105.27055358886719
XCPKWEM58CV5,35.9132,-79.05584
MWYVQTQ32ME5,30.4031925201416,-91.1226577758789
U9EDNSCHTBE7,42.77944,-96.92921
VRAASTY11EA3,35.9940299987793,-78.89862060546875
C1ABLRAQTB48,34.05223083496094,-118.24368286132812
NHV3GTWSALA7,32.77632,-79.93275
HZJ2JZUALWN4,34.05839920043945,-106.89141845703125
MX8ULDF6SDD6,36.15398025512695,-95.99276733398438
MY2ERHGDV956,42.349510192871094,-71.06330871582031
X5S7PNXMJMC7,33.749000549316406,-84.38797760009766
KZNHNMDUTJA5,36.162841796875,-85.50164031982422
C169K7T4QZ96,30.22409,-92.01984
G47WN1XZNWX9,33.21484,-97.13307
LZYFSK879778,40.849849700927734,-73.86640930175781
ZUFBNVZ587D4,29.76328,-95.36327
Y6MGH342N169,38.95171,-92.33407
Z1L7BKGEAGC7,26.077899932861328,-80.24188995361328
MW8JHK6ZYEX8,40.014991760253906,-105.27055358886719
H6N1ZF5HJ2G3,40.849849700927734,-73.86640930175781
HFT7XTHB6563,29.76328,-95.36327
SZPJL5ZRCLF4,38.95171,-92.33407
J9CDGR596MN3,38.95171,-92.33407
