uei,fiscal_year,works_count,cited_by_count
DW1XZMGNFBL4,2025,245.0,745.0
DW1XZMGNFBL4,2026,156.0,28.0
DWH7MSXKA2A8,2016,421.80042764399866,20518.22382896248
DWH7MSXKA2A8,2017,401.92048945585935,15916.117870539616
DWH7MSXKA2A8,2018,421.80042764399866,16259.927771445531
DWH7MSXKA2A8,2019,510.4955364833893,13349.07929694139
DWH7MSXKA2A8,2020,508.8333342937455,15033.621484013956
DWH7MSXKA2A8,2021,473.328695522955,10362.766843027424
DWH7MSXKA2A8,2022,465.88202971335096,7012.498597669063
DWH7MSXKA2A8,2023,513.0885718992336,5233.609814312319
DWH7MSXKA2A8,2024,475.85524285121346,2792.6991428642614
DWH7MSXKA2A8,2025,463.4219704726782,961.9496511906325
DWH7MSXKA2A8,2026,245.14157892866064,45.14541147072432
DYZNJGLTHMR9,2016,823.0,26275.0
DYZNJGLTHMR9,2017,896.0,17424.0
DYZNJGLTHMR9,2018,863.0,22877.0
DYZNJGLTHMR9,2019,936.0,17422.0
DYZNJGLTHMR9,2020,1056.0,18802.0
DYZNJGLTHMR9,2021,1184.0,22252.0
DYZNJGLTHMR9,2022,1224.0,12650.0
DYZNJGLTHMR9,2023,1342.0,10292.0
DYZNJGLTHMR9,2024,1279.0,4512.0
DYZNJGLTHMR9,2025,1644.0,2990.0
DYZNJGLTHMR9,2026,742.0,152.0
DZ4YCZ3QSPR5,2016,4083.0,137785.0
DZ4YCZ3QSPR5,2017,4356.0,143146.0
DZ4YCZ3QSPR5,2018,4170.0,138656.0
DZ4YCZ3QSPR5,2019,4525.0,137485.0
DZ4YCZ3QSPR5,2020,5390.0,170704.0
DZ4YCZ3QSPR5,2021,5029.0,95181.0
DZ4YCZ3QSPR5,2022,5294.0,79352.0
DZ4YCZ3QSPR5,2023,5180.0,51799.0
DZ4YCZ3QSPR5,2024,5378.0,32131.0
DZ4YCZ3QSPR5,2025,4841.0,9123.0
DZ4YCZ3QSPR5,2026,2171.0,341.0
DZFJT2KH9C43,2016,272.0,9882.0
DZFJT2KH9C43,2017,323.0,9056.0
DZFJT2KH9C43,2018,352.0,7875.0
DZFJT2KH9C43,2019,356.0,6367.0
DZFJT2KH9C43,2020,518.0,7941.0
DZFJT2KH9C43,2021,485.0,6786.0
DZFJT2KH9C43,2022,418.0,5305.0
